genre,total,left_hand_count,right_hand_count,left_foot_count,right_foot_count,left_hand_percentage,right_hand_percentage,left_foot_percentage,right_foot_percentage
Break,99,67,62,50,40,67.68,62.63,50.51,40.4
Pop,141,89,84,47,62,63.12,59.57,33.33,43.97
Lock,141,66,67,47,52,46.81,47.52,33.33,36.88
Middle Hip-hop,140,110,109,89,98,78.57,77.86,63.57,70.0
LA style Hip-hop,141,96,99,56,63,68.09,70.21,39.72,44.68
House,136,118,123,100,90,86.76,90.44,73.53,66.18
Waack,141,56,59,42,43,39.72,41.84,29.79,30.5
Krump,137,62,66,61,65,45.26,48.18,44.53,47.45
Street Jazz,129,53,46,37,48,41.09,35.66,28.68,37.21
Ballet Jazz,136,63,57,65,68,46.32,41.91,47.79,50.0
