genre,total,left_hand_count,right_hand_count,left_foot_count,right_foot_count,Combined_count,left_hand_percentage,right_hand_percentage,left_foot_percentage,right_foot_percentage,Combined_percentage
Break,99,44,52,42,44,77,44.44,52.53,42.42,44.44,77.78
Pop,141,43,39,47,47,89,30.5,27.66,33.33,33.33,63.12
Lock,141,57,65,65,61,105,40.43,46.1,46.1,43.26,74.47
Middle Hip-hop,140,70,60,64,72,115,50.0,42.86,45.71,51.43,82.14
LA style Hip-hop,141,48,60,48,52,96,34.04,42.55,34.04,36.88,68.09
House,136,104,103,106,89,133,76.47,75.74,77.94,65.44,97.79
Waack,141,52,59,56,56,101,36.88,41.84,39.72,39.72,71.63
Krump,137,64,63,68,60,110,46.72,45.99,49.64,43.8,80.29
Street Jazz,129,48,44,61,52,85,37.21,34.11,47.29,40.31,65.89
Ballet Jazz,136,63,62,63,67,106,46.32,45.59,46.32,49.26,77.94
