genre,Lhand-Rhand (Hands),Lfoot-Rfoot (Feet),Lhand-Lfoot (Left Side),Rhand-Rfoot (Right Side),Lhand-Rfoot (Diagonal),Rhand-Lfoot (Diagonal)
Break,55.77,61.36,56.82,53.85,54.55,59.62
Pop,46.51,53.19,48.94,42.55,42.55,42.55
Lock,55.38,55.38,53.85,58.46,44.26,63.08
Middle Hip-hop,62.86,55.56,52.86,48.61,61.11,46.88
LA style Hip-hop,56.67,50.0,45.83,55.0,48.08,45.0
House,78.85,75.47,78.3,73.79,71.15,75.47
Waack,54.24,51.79,51.79,50.85,51.79,49.15
Krump,62.5,57.35,52.94,57.14,59.38,60.29
Street Jazz,58.33,60.66,59.02,59.62,55.77,55.74
Ballet Jazz,66.67,56.72,66.67,56.72,61.19,60.32
