Agenre_name,Ahand_hits_1S,Atotal,Apercentage,Bgenre_name,Bfoot_hits_1S,Btotal,Bpercentage
Break,12,99,12.12,Break,10,99,10.1
House,49,136,36.03,House,51,136,37.5
Ballet Jazz,12,136,8.82,Ballet Jazz,7,136,5.15
Street Jazz,9,129,6.98,Street Jazz,5,129,3.88
Krump,14,137,10.22,Krump,11,137,8.03
LA style Hip-hop,7,141,4.96,LA style Hip-hop,12,141,8.51
Lock,15,141,10.64,Lock,16,141,11.35
Middle Hip-hop,8,140,5.71,Middle Hip-hop,14,140,10.0
Pop,7,141,4.96,Pop,9,141,6.38
Waack,13,141,9.22,Waack,12,141,8.51
