Agenre_name,Ahand_hits_1S,Atotal,Apercentage,Bgenre_name,Bfoot_hits_1S,Btotal,Bpercentage
Break,11,99,11.11,Break,10,99,10.1
House,39,136,28.68,House,44,136,32.35
Ballet Jazz,13,136,9.56,Ballet Jazz,10,136,7.35
Street Jazz,9,129,6.98,Street Jazz,10,129,7.75
Krump,19,137,13.87,Krump,19,137,13.87
LA style Hip-hop,10,141,7.09,LA style Hip-hop,12,141,8.51
Lock,11,141,7.8,Lock,13,141,9.22
Middle Hip-hop,14,140,10.0,Middle Hip-hop,14,140,10.0
Pop,6,141,4.26,Pop,8,141,5.67
Waack,14,141,9.93,Waack,11,141,7.8
