Agenre_name,Ahand_hits_1S,Atotal,Apercentage,Bgenre_name,Bfoot_hits_1S,Btotal,Bpercentage
Break,11,99,11.11,Break,10,99,10.1
House,39,136,28.68,House,51,136,37.5
Ballet Jazz,13,136,9.56,Ballet Jazz,7,136,5.15
Street Jazz,9,129,6.98,Street Jazz,5,129,3.88
Krump,19,137,13.87,Krump,11,137,8.03
LA style Hip-hop,10,141,7.09,LA style Hip-hop,12,141,8.51
Lock,11,141,7.8,Lock,16,141,11.35
Middle Hip-hop,14,140,10.0,Middle Hip-hop,14,140,10.0
Pop,6,141,4.26,Pop,9,141,6.38
Waack,14,141,9.93,Waack,12,141,8.51
