Agenre_name,Acombined_hits_1S,Atotal,Apercentage,Bgenre_name,Bcombined_hits_2S,Btotal,Bpercentage
Break,18,99,18.18,Break,16,99,16.16
House,73,136,53.68,House,86,136,63.24
Ballet Jazz,17,136,12.5,Ballet Jazz,2,136,1.47
Street Jazz,12,129,9.3,Street Jazz,7,129,5.43
Krump,21,137,15.33,Krump,26,137,18.98
LA style Hip-hop,19,141,13.48,LA style Hip-hop,19,141,13.48
Lock,28,141,19.86,Lock,12,141,8.51
Middle Hip-hop,22,140,15.71,Middle Hip-hop,24,140,17.14
Pop,15,141,10.64,Pop,9,141,6.38
Waack,22,141,15.6,Waack,13,141,9.22
