genre,Lhand-Rhand (Hands),Lfoot-Rfoot (Feet),Lhand-Lfoot (Left Side),Rhand-Rfoot (Right Side),Lhand-Rfoot (Diagonal),Rhand-Lfoot (Diagonal)
Break,21.43,7.14,21.43,21.43,14.29,14.29
Pop,6.67,33.33,9.52,27.78,5.56,9.52
Lock,32.14,30.43,25.0,16.67,17.86,17.39
Middle Hip-hop,35.0,44.0,24.0,34.78,26.09,28.0
LA style Hip-hop,15.79,36.0,8.0,33.33,14.29,40.0
House,40.91,36.96,28.26,32.5,36.36,26.09
Waack,31.82,5.88,35.0,4.55,10.0,36.36
Krump,31.82,37.93,34.48,27.27,18.18,31.03
Street Jazz,13.33,21.05,5.26,20.0,26.67,26.32
Ballet Jazz,20.83,15.79,7.14,25.0,10.53,4.17
