genre,Lhand-Rhand (Hands),Lfoot-Rfoot (Feet),Lhand-Lfoot (Left Side),Rhand-Rfoot (Right Side),Lhand-Rfoot (Diagonal),Rhand-Lfoot (Diagonal)
Break,55.56,53.33,47.22,48.48,36.11,51.52
Pop,48.28,43.59,41.67,43.59,38.46,36.11
Lock,42.55,49.02,49.02,34.88,44.68,39.22
Middle Hip-hop,55.26,52.83,43.14,37.74,33.96,45.1
LA style Hip-hop,44.44,50.0,22.92,43.18,36.36,47.92
House,56.25,68.75,59.38,48.78,71.95,51.04
Waack,52.78,43.9,46.34,36.11,27.78,53.66
Krump,56.86,55.77,57.69,42.55,49.02,42.31
Street Jazz,50.0,43.75,41.67,43.75,41.67,48.39
Ballet Jazz,55.0,42.86,40.48,45.0,52.5,38.1
