genre,Lhand-Rhand (Hands),Lfoot-Rfoot (Feet),Lhand-Lfoot (Left Side),Rhand-Rfoot (Right Side),Lhand-Rfoot (Diagonal),Rhand-Lfoot (Diagonal)
Break,41.67,38.71,41.94,38.89,41.38,41.67
Pop,32.26,47.06,33.33,23.53,26.47,27.27
Lock,38.1,36.73,42.86,38.1,33.33,44.9
Middle Hip-hop,53.85,56.82,44.23,41.67,36.54,35.42
LA style Hip-hop,45.0,42.22,21.95,46.67,35.56,34.15
House,70.41,77.91,74.19,63.27,66.67,70.41
Waack,34.21,36.36,34.29,40.91,36.36,26.32
Krump,53.7,50.0,48.89,42.59,51.11,51.85
Street Jazz,51.72,41.38,24.14,34.48,37.93,40.74
Ballet Jazz,55.0,42.0,50.0,50.0,54.0,41.03
