genre,Lhand-Rhand (Hands),Lfoot-Rfoot (Feet),Lhand-Lfoot (Left Side),Rhand-Rfoot (Right Side),Lhand-Rfoot (Diagonal),Rhand-Lfoot (Diagonal)
Break,85.53,71.15,87.5,73.08,80.77,76.56
Pop,78.49,61.43,74.29,67.11,67.11,67.14
Lock,65.12,65.22,71.01,70.67,68.0,66.67
Middle Hip-hop,97.54,93.39,90.16,90.91,89.26,90.32
LA style Hip-hop,90.74,68.35,79.76,88.61,82.28,89.29
House,94.26,85.98,86.92,96.26,91.59,96.26
Waack,63.38,55.56,55.56,53.52,60.0,54.93
Krump,76.25,77.91,73.33,72.5,69.77,72.5
Street Jazz,54.24,42.22,40.0,48.28,55.17,48.89
Ballet Jazz,61.64,71.23,67.12,69.86,58.67,65.75
