genre,total,left_hand_count,right_hand_count,left_foot_count,right_foot_count,Combined_count,left_hand_percentage,right_hand_percentage,left_foot_percentage,right_foot_percentage,Combined_percentage
Break,99,82,76,64,52,97,82.83,76.77,64.65,52.53,97.98
Pop,141,93,93,70,76,131,65.96,65.96,49.65,53.9,92.91
Lock,141,88,86,69,75,130,62.41,60.99,48.94,53.19,92.2
Middle Hip-hop,140,122,124,125,121,137,87.14,88.57,89.29,86.43,97.86
LA style Hip-hop,141,108,121,84,79,135,76.6,85.82,59.57,56.03,95.74
House,136,122,127,107,107,136,89.71,93.38,78.68,78.68,100.0
Waack,141,75,71,72,78,134,53.19,50.35,51.06,55.32,95.04
Krump,137,90,80,96,86,131,65.69,58.39,70.07,62.77,95.62
Street Jazz,129,59,59,45,58,115,45.74,45.74,34.88,44.96,89.15
Ballet Jazz,136,75,73,73,78,122,55.15,53.68,53.68,57.35,89.71
