genre,total,left_hand_count,right_hand_count,left_foot_count,right_foot_count,Combined_count,left_hand_percentage,right_hand_percentage,left_foot_percentage,right_foot_percentage,Combined_percentage
Break,99,30,27,29,26,64,30.3,27.27,29.29,26.26,64.65
Pop,141,21,23,35,29,73,14.89,16.31,24.82,20.57,51.77
Lock,141,32,34,41,29,85,22.7,24.11,29.08,20.57,60.28
Middle Hip-hop,140,38,37,48,52,93,27.14,26.43,34.29,37.14,66.43
LA style Hip-hop,141,33,35,35,37,78,23.4,24.82,24.82,26.24,55.32
House,136,83,67,81,63,125,61.03,49.26,59.56,46.32,91.91
Waack,141,32,43,37,34,93,22.7,30.5,26.24,24.11,65.96
Krump,137,46,38,33,47,93,33.58,27.74,24.09,34.31,67.88
Street Jazz,129,34,30,21,25,62,26.36,23.26,16.28,19.38,48.06
Ballet Jazz,136,31,39,28,27,70,22.79,28.68,20.59,19.85,51.47
