genre,Lhand-Rhand (Hands),Lfoot-Rfoot (Feet),Lhand-Lfoot (Left Side),Rhand-Rfoot (Right Side),Lhand-Rfoot (Diagonal),Rhand-Lfoot (Diagonal)
Break,44.44,26.32,22.22,21.05,21.05,22.22
Pop,0.0,11.76,23.08,17.65,23.53,11.76
Lock,28.57,17.39,23.08,17.86,23.08,25.0
Middle Hip-hop,47.62,39.13,21.74,14.29,19.05,21.74
LA style Hip-hop,42.11,31.82,13.64,6.25,21.05,9.09
House,40.38,42.55,40.43,30.77,34.09,32.69
Waack,23.33,9.09,3.33,20.0,16.67,12.0
Krump,29.41,37.93,38.24,25.0,32.35,34.48
Street Jazz,34.78,19.05,16.67,30.43,19.05,17.39
Ballet Jazz,34.78,25.0,4.35,19.05,13.04,28.57
