genre,total,left_hand_count,right_hand_count,left_foot_count,right_foot_count,Combined_count,left_hand_percentage,right_hand_percentage,left_foot_percentage,right_foot_percentage,Combined_percentage
Break,99,18,18,16,19,49,18.18,18.18,16.16,19.19,49.49
Pop,141,13,17,13,17,47,9.22,12.06,9.22,12.06,33.33
Lock,141,26,28,23,21,69,18.44,19.86,16.31,14.89,48.94
Middle Hip-hop,140,21,21,23,21,57,15.0,15.0,16.43,15.0,40.71
LA style Hip-hop,141,19,16,22,16,53,13.48,11.35,15.6,11.35,37.59
House,136,44,52,47,43,103,32.35,38.24,34.56,31.62,75.74
Waack,141,30,25,18,22,75,21.28,17.73,12.77,15.6,53.19
Krump,137,34,24,29,28,73,24.82,17.52,21.17,20.44,53.28
Street Jazz,129,15,23,18,21,54,11.63,17.83,13.95,16.28,41.86
Ballet Jazz,136,23,21,20,20,60,16.91,15.44,14.71,14.71,44.12
