genre,total,left_hand_count,right_hand_count,left_foot_count,right_foot_count,Combined_count,left_hand_percentage,right_hand_percentage,left_foot_percentage,right_foot_percentage,Combined_percentage
Break,99,35,32,35,26,61,35.35,32.32,35.35,26.26,61.62
Pop,141,55,50,33,40,98,39.01,35.46,23.4,28.37,69.5
Lock,141,51,50,29,36,88,36.17,35.46,20.57,25.53,62.41
Middle Hip-hop,140,70,80,79,90,123,50.0,57.14,56.43,64.29,87.86
LA style Hip-hop,141,47,64,48,31,98,33.33,45.39,34.04,21.99,69.5
House,136,64,90,69,78,127,47.06,66.18,50.74,57.35,93.38
Waack,141,38,47,39,28,85,26.95,33.33,27.66,19.86,60.28
Krump,137,45,26,40,46,85,32.85,18.98,29.2,33.58,62.04
Street Jazz,129,33,39,27,33,77,25.58,30.23,20.93,25.58,59.69
Ballet Jazz,136,43,43,39,47,93,31.62,31.62,28.68,34.56,68.38
