genre,Lhand-Rhand (Hands),Lfoot-Rfoot (Feet),Lhand-Lfoot (Left Side),Rhand-Rfoot (Right Side),Lhand-Rfoot (Diagonal),Rhand-Lfoot (Diagonal)
Break,60.0,51.43,45.71,43.75,37.14,54.29
Pop,45.45,35.0,29.09,40.0,38.18,28.0
Lock,52.94,25.0,29.41,40.0,37.25,28.0
Middle Hip-hop,65.0,73.33,59.49,63.33,51.11,66.25
LA style Hip-hop,50.0,39.58,43.75,35.94,29.79,40.62
House,51.11,60.26,55.07,56.67,52.56,56.67
Waack,44.68,25.64,38.46,23.4,21.05,46.81
Krump,28.89,56.52,31.11,30.43,36.96,30.0
Street Jazz,33.33,36.36,39.39,25.64,36.36,30.77
Ballet Jazz,46.51,40.43,41.86,27.66,42.55,44.19
