genre,total,left_hand_count,right_hand_count,left_foot_count,right_foot_count,Combined_count,left_hand_percentage,right_hand_percentage,left_foot_percentage,right_foot_percentage,Combined_percentage
Break,99,73,78,59,54,98,73.74,78.79,59.6,54.55,98.99
Pop,141,101,92,73,79,132,71.63,65.25,51.77,56.03,93.62
Lock,141,70,85,71,70,126,49.65,60.28,50.35,49.65,89.36
Middle Hip-hop,140,119,121,122,122,136,85.0,86.43,87.14,87.14,97.14
LA style Hip-hop,141,105,106,82,87,133,74.47,75.18,58.16,61.7,94.33
House,136,124,121,118,111,135,91.18,88.97,86.76,81.62,99.26
Waack,141,81,78,71,59,120,57.45,55.32,50.35,41.84,85.11
Krump,137,81,88,76,79,120,59.12,64.23,55.47,57.66,87.59
Street Jazz,129,65,62,68,70,114,50.39,48.06,52.71,54.26,88.37
Ballet Jazz,136,78,64,76,71,118,57.35,47.06,55.88,52.21,86.76
