genre,Lhand-Rhand (Hands),Lfoot-Rfoot (Feet),Lhand-Lfoot (Left Side),Rhand-Rfoot (Right Side),Lhand-Rfoot (Diagonal),Rhand-Lfoot (Diagonal)
Break,71.19,38.46,43.1,23.73,25.86,40.68
Pop,62.12,30.0,33.33,29.69,31.82,29.69
Lock,45.76,29.17,44.0,37.29,34.0,42.37
Middle Hip-hop,83.18,84.21,69.52,71.03,68.57,71.03
LA style Hip-hop,60.0,36.67,44.44,33.75,38.89,46.25
House,70.0,54.55,52.56,53.75,53.85,66.25
Waack,38.89,32.56,29.27,37.04,32.56,35.19
Krump,50.88,53.62,46.38,48.15,49.12,47.83
Street Jazz,32.26,24.24,16.13,24.24,30.3,12.0
Ballet Jazz,43.75,50.0,43.59,38.1,38.1,30.77
