genre,total,left_hand_count,right_hand_count,left_foot_count,right_foot_count,Combined_count,left_hand_percentage,right_hand_percentage,left_foot_percentage,right_foot_percentage,Combined_percentage
Break,99,58,59,39,31,89,58.59,59.6,39.39,31.31,89.9
Pop,141,66,64,40,35,108,46.81,45.39,28.37,24.82,76.6
Lock,141,50,59,48,43,112,35.46,41.84,34.04,30.5,79.43
Middle Hip-hop,140,105,107,94,95,136,75.0,76.43,67.14,67.86,97.14
LA style Hip-hop,141,72,80,60,45,123,51.06,56.74,42.55,31.91,87.23
House,136,78,80,77,64,125,57.35,58.82,56.62,47.06,91.91
Waack,141,41,54,41,43,106,29.08,38.3,29.08,30.5,75.18
Krump,137,57,54,69,50,111,41.61,39.42,50.36,36.5,81.02
Street Jazz,129,31,24,25,33,76,24.03,18.6,19.38,25.58,58.91
Ballet Jazz,136,30,32,39,42,77,22.06,23.53,28.68,30.88,56.62
