genre,total,left_hand_count,right_hand_count,left_foot_count,right_foot_count,Combined_count,left_hand_percentage,right_hand_percentage,left_foot_percentage,right_foot_percentage,Combined_percentage
Break,99,37,27,43,30,73,37.37,27.27,43.43,30.3,73.74
Pop,141,35,31,37,35,83,24.82,21.99,26.24,24.82,58.87
Lock,141,40,41,33,35,92,28.37,29.08,23.4,24.82,65.25
Middle Hip-hop,140,41,37,48,54,97,29.29,26.43,34.29,38.57,69.29
LA style Hip-hop,141,46,39,46,38,89,32.62,27.66,32.62,26.95,63.12
House,136,61,66,65,59,117,44.85,48.53,47.79,43.38,86.03
Waack,141,41,50,45,41,93,29.08,35.46,31.91,29.08,65.96
Krump,137,45,47,39,38,96,32.85,34.31,28.47,27.74,70.07
Street Jazz,129,37,36,33,32,79,28.68,27.91,25.58,24.81,61.24
Ballet Jazz,136,33,40,45,47,88,24.26,29.41,33.09,34.56,64.71
