genre,total,left_hand_count,right_hand_count,left_foot_count,right_foot_count,Combined_count,left_hand_percentage,right_hand_percentage,left_foot_percentage,right_foot_percentage,Combined_percentage
Break,99,22,26,25,25,60,22.22,26.26,25.25,25.25,60.61
Pop,141,26,36,32,28,70,18.44,25.53,22.7,19.86,49.65
Lock,141,40,34,41,33,87,28.37,24.11,29.08,23.4,61.7
Middle Hip-hop,140,55,39,38,44,94,39.29,27.86,27.14,31.43,67.14
LA style Hip-hop,141,35,40,37,43,81,24.82,28.37,26.24,30.5,57.45
House,136,89,83,80,63,127,65.44,61.03,58.82,46.32,93.38
Waack,141,33,35,31,38,78,23.4,24.82,21.99,26.95,55.32
Krump,137,34,37,45,35,83,24.82,27.01,32.85,25.55,60.58
Street Jazz,129,31,34,39,36,73,24.03,26.36,30.23,27.91,56.59
Ballet Jazz,136,37,34,39,40,81,27.21,25.0,28.68,29.41,59.56
