genre,Lhand-Rhand (Hands),Lfoot-Rfoot (Feet),Lhand-Lfoot (Left Side),Rhand-Rfoot (Right Side),Lhand-Rfoot (Diagonal),Rhand-Lfoot (Diagonal)
Break,26.92,44.0,16.0,23.08,36.0,26.92
Pop,47.22,37.5,28.12,30.56,21.43,41.67
Lock,45.0,34.15,29.27,29.41,40.0,19.51
Middle Hip-hop,38.18,54.55,34.55,38.64,32.73,41.03
LA style Hip-hop,42.5,55.81,35.14,41.86,37.21,40.0
House,68.54,55.0,62.92,48.19,52.81,62.65
Waack,40.0,36.84,39.39,28.95,39.47,37.14
Krump,37.84,42.22,37.78,35.14,31.43,46.67
Street Jazz,38.24,43.59,30.77,52.78,36.11,48.72
Ballet Jazz,56.76,50.0,35.9,37.5,37.5,33.33
