genre,total,left_hand_count,right_hand_count,left_foot_count,right_foot_count,Combined_count,left_hand_percentage,right_hand_percentage,left_foot_percentage,right_foot_percentage,Combined_percentage
Break,99,72,71,55,51,93,72.73,71.72,55.56,51.52,93.94
Pop,141,92,87,58,67,119,65.25,61.7,41.13,47.52,84.4
Lock,141,78,72,54,59,107,55.32,51.06,38.3,41.84,75.89
Middle Hip-hop,140,113,114,101,111,134,80.71,81.43,72.14,79.29,95.71
LA style Hip-hop,141,90,98,80,69,119,63.83,69.5,56.74,48.94,84.4
House,136,127,133,113,107,136,93.38,97.79,83.09,78.68,100.0
Waack,141,66,73,60,54,100,46.81,51.77,42.55,38.3,70.92
Krump,137,84,73,74,73,110,61.31,53.28,54.01,53.28,80.29
Street Jazz,129,55,64,51,57,99,42.64,49.61,39.53,44.19,76.74
Ballet Jazz,136,72,76,69,71,118,52.94,55.88,50.74,52.21,86.76
