genre,Lhand-Rhand (Hands),Lfoot-Rfoot (Feet),Lhand-Lfoot (Left Side),Rhand-Rfoot (Right Side),Lhand-Rfoot (Diagonal),Rhand-Lfoot (Diagonal)
Break,77.78,65.45,59.72,50.7,61.11,53.52
Pop,75.0,61.19,54.35,55.17,57.61,50.57
Lock,65.38,59.32,55.13,59.72,56.41,54.17
Middle Hip-hop,86.84,86.49,77.88,85.09,84.96,79.82
LA style Hip-hop,79.59,67.5,75.56,59.18,61.11,67.35
House,93.23,84.96,83.46,78.2,79.53,84.21
Waack,68.49,51.67,60.61,53.42,60.61,60.27
Krump,69.05,78.38,66.67,71.23,64.29,68.92
Street Jazz,48.44,59.65,54.55,54.69,57.89,53.12
Ballet Jazz,65.79,66.2,62.5,64.47,65.28,60.53
