genre,Lhand-Rhand (Hands),Lfoot-Rfoot (Feet),Lhand-Lfoot (Left Side),Rhand-Rfoot (Right Side),Lhand-Rfoot (Diagonal),Rhand-Lfoot (Diagonal)
Break,60.38,35.14,39.62,30.61,22.64,34.69
Pop,65.28,42.55,31.94,34.29,34.72,25.71
Lock,48.15,47.73,44.44,44.0,40.74,36.0
Middle Hip-hop,84.16,76.67,60.4,69.7,67.33,59.6
LA style Hip-hop,65.48,43.14,37.84,42.86,41.89,35.71
House,68.48,59.76,61.45,58.7,56.63,59.78
Waack,36.36,34.21,36.59,34.09,46.34,27.27
Krump,38.0,53.57,48.0,46.43,48.21,42.0
Street Jazz,40.0,34.29,20.0,28.57,17.5,26.67
Ballet Jazz,52.78,37.5,30.36,36.96,34.78,28.57
