genre,total,left_hand_count,right_hand_count,left_foot_count,right_foot_count,Combined_count,left_hand_percentage,right_hand_percentage,left_foot_percentage,right_foot_percentage,Combined_percentage
Break,99,20,17,21,19,52,20.2,17.17,21.21,19.19,52.53
Pop,141,15,19,29,24,62,10.64,13.48,20.57,17.02,43.97
Lock,141,22,26,29,18,70,15.6,18.44,20.57,12.77,49.65
Middle Hip-hop,140,35,32,40,49,87,25.0,22.86,28.57,35.0,62.14
LA style Hip-hop,141,27,29,26,28,67,19.15,20.57,18.44,19.86,47.52
House,136,60,43,54,41,111,44.12,31.62,39.71,30.15,81.62
Waack,141,24,32,27,24,78,17.02,22.7,19.15,17.02,55.32
Krump,137,36,28,26,34,81,26.28,20.44,18.98,24.82,59.12
Street Jazz,129,29,27,17,19,61,22.48,20.93,13.18,14.73,47.29
Ballet Jazz,136,23,29,23,18,58,16.91,21.32,16.91,13.24,42.65
