genre,Lhand-Rhand (Hands),Lfoot-Rfoot (Feet),Lhand-Lfoot (Left Side),Rhand-Rfoot (Right Side),Lhand-Rfoot (Diagonal),Rhand-Lfoot (Diagonal)
Break,30.0,33.33,19.05,26.32,10.0,28.57
Pop,26.32,20.69,17.24,25.0,8.33,17.24
Lock,23.08,10.34,17.24,19.23,9.09,20.69
Middle Hip-hop,54.29,51.02,32.5,28.57,24.49,35.0
LA style Hip-hop,37.93,46.43,25.93,34.48,28.57,37.93
House,38.33,42.59,41.67,32.56,35.0,29.63
Waack,25.0,0.0,22.22,18.75,29.17,21.88
Krump,36.11,32.35,30.56,26.47,30.56,17.86
Street Jazz,27.59,26.32,17.24,14.81,20.69,18.52
Ballet Jazz,41.38,30.43,26.09,31.03,26.09,27.59
