genre,total,left_hand_count,right_hand_count,left_foot_count,right_foot_count,Combined_count,left_hand_percentage,right_hand_percentage,left_foot_percentage,right_foot_percentage,Combined_percentage
Break,99,26,22,25,20,54,26.26,22.22,25.25,20.2,54.55
Pop,141,21,19,21,28,55,14.89,13.48,14.89,19.86,39.01
Lock,141,29,27,38,31,72,20.57,19.15,26.95,21.99,51.06
Middle Hip-hop,140,25,30,35,44,78,17.86,21.43,25.0,31.43,55.71
LA style Hip-hop,141,20,24,32,30,62,14.18,17.02,22.7,21.28,43.97
House,136,63,51,79,66,116,46.32,37.5,58.09,48.53,85.29
Waack,141,24,26,29,23,62,17.02,18.44,20.57,16.31,43.97
Krump,137,35,32,31,36,77,25.55,23.36,22.63,26.28,56.2
Street Jazz,129,24,19,17,23,48,18.6,14.73,13.18,17.83,37.21
Ballet Jazz,136,27,27,31,29,67,19.85,19.85,22.79,21.32,49.26
