genre,Lhand-Rhand (Hands),Lfoot-Rfoot (Feet),Lhand-Lfoot (Left Side),Rhand-Rfoot (Right Side),Lhand-Rfoot (Diagonal),Rhand-Lfoot (Diagonal)
Break,45.45,45.0,48.0,30.0,35.0,40.91
Pop,42.11,38.1,19.05,47.37,42.86,26.32
Lock,37.04,45.16,37.93,40.74,48.28,48.15
Middle Hip-hop,48.0,48.57,44.0,40.0,40.0,46.67
LA style Hip-hop,60.0,40.0,30.0,37.5,30.0,50.0
House,56.86,72.73,61.9,54.9,60.32,60.78
Waack,50.0,39.13,33.33,30.43,26.09,42.31
Krump,53.12,51.61,38.71,40.62,34.29,32.26
Street Jazz,63.16,41.18,29.41,42.11,30.43,47.06
Ballet Jazz,48.15,31.03,25.93,44.44,51.85,29.63
