genre,total,left_hand_count,right_hand_count,left_foot_count,right_foot_count,Combined_count,left_hand_percentage,right_hand_percentage,left_foot_percentage,right_foot_percentage,Combined_percentage
Break,99,47,44,54,42,81,47.47,44.44,54.55,42.42,81.82
Pop,141,49,53,54,53,97,34.75,37.59,38.3,37.59,68.79
Lock,141,67,62,60,58,111,47.52,43.97,42.55,41.13,78.72
Middle Hip-hop,140,71,63,72,75,116,50.71,45.0,51.43,53.57,82.86
LA style Hip-hop,141,62,58,71,65,107,43.97,41.13,50.35,46.1,75.89
House,136,108,102,108,91,133,79.41,75.0,79.41,66.91,97.79
Waack,141,63,70,67,65,108,44.68,49.65,47.52,46.1,76.6
Krump,137,69,69,64,59,112,50.36,50.36,46.72,43.07,81.75
Street Jazz,129,52,51,58,59,90,40.31,39.53,44.96,45.74,69.77
Ballet Jazz,136,58,56,66,69,99,42.65,41.18,48.53,50.74,72.79
