Agenre_name,Ahand_hits_1S,Atotal,Apercentage,Bgenre_name,Bfoot_hits_1S,Btotal,Bpercentage
Break,42,99,42.42,Break,35,99,35.35
House,104,136,76.47,House,70,136,51.47
Ballet Jazz,42,136,30.88,Ballet Jazz,31,136,22.79
Street Jazz,25,129,19.38,Street Jazz,18,129,13.95
Krump,35,137,25.55,Krump,36,137,26.28
LA style Hip-hop,66,141,46.81,LA style Hip-hop,28,141,19.86
Lock,36,141,25.53,Lock,21,141,14.89
Middle Hip-hop,81,140,57.86,Middle Hip-hop,61,140,43.57
Pop,66,141,46.81,Pop,22,141,15.6
Waack,34,141,24.11,Waack,20,141,14.18
