Agenre_name,Ahand_hits_1S,Atotal,Apercentage,Bgenre_name,Bfoot_hits_1S,Btotal,Bpercentage
Break,40,99,40.4,Break,25,99,25.25
House,117,136,86.03,House,61,136,44.85
Ballet Jazz,33,136,24.26,Ballet Jazz,36,136,26.47
Street Jazz,27,129,20.93,Street Jazz,25,129,19.38
Krump,32,137,23.36,Krump,43,137,31.39
LA style Hip-hop,72,141,51.06,LA style Hip-hop,34,141,24.11
Lock,42,141,29.79,Lock,24,141,17.02
Middle Hip-hop,85,140,60.71,Middle Hip-hop,61,140,43.57
Pop,54,141,38.3,Pop,33,141,23.4
Waack,32,141,22.7,Waack,18,141,12.77
