Agenre_name,Acombined_hits_1S,Atotal,Apercentage,Bgenre_name,Bcombined_hits_2S,Btotal,Bpercentage
Break,51,99,51.52,Break,30,99,30.3
House,121,136,88.97,House,105,136,77.21
Ballet Jazz,57,136,41.91,Ballet Jazz,24,136,17.65
Street Jazz,46,129,35.66,Street Jazz,24,129,18.6
Krump,56,137,40.88,Krump,30,137,21.9
LA style Hip-hop,78,141,55.32,LA style Hip-hop,42,141,29.79
Lock,51,141,36.17,Lock,21,141,14.89
Middle Hip-hop,102,140,72.86,Middle Hip-hop,60,140,42.86
Pop,70,141,49.65,Pop,33,141,23.4
Waack,39,141,27.66,Waack,22,141,15.6
