Agenre_name,Acombined_hits_1S,Atotal,Apercentage,Bgenre_name,Bcombined_hits_2S,Btotal,Bpercentage
Break,55,99,55.56,Break,30,99,30.3
House,125,136,91.91,House,105,136,77.21
Ballet Jazz,54,136,39.71,Ballet Jazz,24,136,17.65
Street Jazz,37,129,28.68,Street Jazz,24,129,18.6
Krump,54,137,39.42,Krump,30,137,21.9
LA style Hip-hop,80,141,56.74,LA style Hip-hop,42,141,29.79
Lock,47,141,33.33,Lock,21,141,14.89
Middle Hip-hop,100,140,71.43,Middle Hip-hop,60,140,42.86
Pop,66,141,46.81,Pop,33,141,23.4
Waack,41,141,29.08,Waack,22,141,15.6
