Agenre_name,Ahand_hits_2S,Atotal,Apercentage,Bgenre_name,Bfoot_hits_2S,Btotal,Bpercentage
Break,20,99,20.2,Break,16,99,16.16
House,94,136,69.12,House,44,136,32.35
Ballet Jazz,17,136,12.5,Ballet Jazz,16,136,11.76
Street Jazz,16,129,12.4,Street Jazz,12,129,9.3
Krump,19,137,13.87,Krump,18,137,13.14
LA style Hip-hop,31,141,21.99,LA style Hip-hop,23,141,16.31
Lock,12,141,8.51,Lock,11,141,7.8
Middle Hip-hop,49,140,35.0,Middle Hip-hop,27,140,19.29
Pop,28,141,19.86,Pop,11,141,7.8
Waack,15,141,10.64,Waack,11,141,7.8
