Agenre_name,Ahand_hits_1S,Atotal,Apercentage,Bgenre_name,Bfoot_hits_1S,Btotal,Bpercentage
Break,42,99,42.42,Break,25,99,25.25
House,104,136,76.47,House,61,136,44.85
Ballet Jazz,42,136,30.88,Ballet Jazz,36,136,26.47
Street Jazz,25,129,19.38,Street Jazz,25,129,19.38
Krump,35,137,25.55,Krump,43,137,31.39
LA style Hip-hop,66,141,46.81,LA style Hip-hop,34,141,24.11
Lock,36,141,25.53,Lock,24,141,17.02
Middle Hip-hop,81,140,57.86,Middle Hip-hop,61,140,43.57
Pop,66,141,46.81,Pop,33,141,23.4
Waack,34,141,24.11,Waack,18,141,12.77
