genre,total,left_hand_count,right_hand_count,left_foot_count,right_foot_count,Combined_count,left_hand_percentage,right_hand_percentage,left_foot_percentage,right_foot_percentage,Combined_percentage
Break,99,77,75,61,59,96,77.78,75.76,61.62,59.6,96.97
Pop,141,102,93,56,77,126,72.34,65.96,39.72,54.61,89.36
Lock,141,74,76,56,64,107,52.48,53.9,39.72,45.39,75.89
Middle Hip-hop,140,116,121,116,110,138,82.86,86.43,82.86,78.57,98.57
LA style Hip-hop,141,93,99,70,80,123,65.96,70.21,49.65,56.74,87.23
House,136,129,130,113,106,136,94.85,95.59,83.09,77.94,100.0
Waack,141,74,70,58,49,109,52.48,49.65,41.13,34.75,77.3
Krump,137,76,85,75,72,113,55.47,62.04,54.74,52.55,82.48
Street Jazz,129,65,54,57,61,105,50.39,41.86,44.19,47.29,81.4
Ballet Jazz,136,76,69,77,77,124,55.88,50.74,56.62,56.62,91.18
