genre,Lhand-Rhand (Hands),Lfoot-Rfoot (Feet),Lhand-Lfoot (Left Side),Rhand-Rfoot (Right Side),Lhand-Rfoot (Diagonal),Rhand-Lfoot (Diagonal)
Break,83.12,75.41,62.34,60.0,61.04,65.33
Pop,77.45,50.65,46.08,55.91,61.76,43.01
Lock,72.37,56.25,54.05,59.21,60.81,55.26
Middle Hip-hop,90.08,87.07,86.21,79.34,80.17,85.12
LA style Hip-hop,75.76,61.25,59.14,66.67,65.59,59.6
House,95.38,80.53,83.72,79.23,77.52,84.62
Waack,63.51,46.55,56.76,48.57,45.95,54.29
Krump,70.59,74.67,64.47,64.71,64.47,65.88
Street Jazz,49.23,57.38,46.15,54.1,55.38,59.65
Ballet Jazz,61.84,62.34,57.14,54.55,61.04,54.55
