genre,Lhand-Rhand (Hands),Lfoot-Rfoot (Feet),Lhand-Lfoot (Left Side),Rhand-Rfoot (Right Side),Lhand-Rfoot (Diagonal),Rhand-Lfoot (Diagonal)
Break,40.74,46.15,37.04,26.92,40.74,38.46
Pop,33.33,37.5,37.5,30.43,29.17,20.83
Lock,35.14,30.56,29.73,37.84,29.73,32.43
Middle Hip-hop,34.62,30.77,19.23,30.77,30.77,5.71
LA style Hip-hop,31.25,40.0,21.43,40.0,28.57,34.38
House,67.78,57.5,63.33,48.84,50.0,67.44
Waack,23.68,45.45,29.03,42.11,30.3,36.84
Krump,45.0,36.59,36.59,37.5,37.84,41.46
Street Jazz,27.27,48.48,39.39,25.81,36.36,24.24
Ballet Jazz,31.71,41.03,41.46,28.21,41.46,38.46
