genre,Lhand-Rhand (Hands),Lfoot-Rfoot (Feet),Lhand-Lfoot (Left Side),Rhand-Rfoot (Right Side),Lhand-Rfoot (Diagonal),Rhand-Lfoot (Diagonal)
Break,79.66,85.42,81.97,66.67,77.08,67.8
Pop,79.78,64.52,83.87,74.32,74.32,75.81
Lock,72.6,67.21,70.49,73.91,63.77,72.13
Middle Hip-hop,91.96,91.45,86.61,88.5,87.5,87.61
LA style Hip-hop,82.47,70.59,77.94,76.62,76.62,82.35
House,92.44,87.25,86.27,98.06,90.29,97.06
Waack,68.75,53.85,70.42,56.25,60.0,67.19
Krump,72.86,68.49,63.51,65.71,68.49,64.29
Street Jazz,46.43,50.88,48.21,44.64,51.79,51.79
Ballet Jazz,68.97,66.2,64.79,65.52,69.44,62.07
