genre,total,left_hand_count,right_hand_count,left_foot_count,right_foot_count,left_hand_percentage,right_hand_percentage,left_foot_percentage,right_foot_percentage
Break,99,12,11,10,10,12.12,11.11,10.1,10.1
Pop,141,7,6,9,8,4.96,4.26,6.38,5.67
Lock,141,15,11,16,13,10.64,7.8,11.35,9.22
Middle Hip-hop,140,8,14,14,14,5.71,10.0,10.0,10.0
LA style Hip-hop,141,7,10,12,12,4.96,7.09,8.51,8.51
House,136,49,39,51,44,36.03,28.68,37.5,32.35
Waack,141,13,14,12,11,9.22,9.93,8.51,7.8
Krump,137,14,19,11,19,10.22,13.87,8.03,13.87
Street Jazz,129,9,9,5,10,6.98,6.98,3.88,7.75
Ballet Jazz,136,12,13,7,10,8.82,9.56,5.15,7.35
