genre,Lhand-Rhand (Hands),Lfoot-Rfoot (Feet),Lhand-Lfoot (Left Side),Rhand-Rfoot (Right Side),Lhand-Rfoot (Diagonal),Rhand-Lfoot (Diagonal)
Break,33.33,40.0,33.33,36.36,25.0,18.18
Pop,14.29,0.0,11.11,25.0,37.5,11.11
Lock,26.67,25.0,18.75,15.38,40.0,12.5
Middle Hip-hop,0.0,28.57,0.0,28.57,0.0,42.86
LA style Hip-hop,40.0,33.33,0.0,8.33,8.33,8.33
House,42.86,54.9,52.94,38.64,44.9,33.33
Waack,35.71,16.67,23.08,14.29,7.69,14.29
Krump,31.58,31.58,28.57,26.32,21.05,15.79
Street Jazz,55.56,20.0,22.22,20.0,20.0,22.22
Ballet Jazz,38.46,10.0,16.67,23.08,16.67,0.0
