genre,Lhand-Rhand (Hands),Lfoot-Rfoot (Feet),Lhand-Lfoot (Left Side),Rhand-Rfoot (Right Side),Lhand-Rfoot (Diagonal),Rhand-Lfoot (Diagonal)
Break,69.7,35.56,50.0,31.67,30.3,46.67
Pop,56.72,38.46,31.34,35.59,32.84,27.12
Lock,51.56,36.73,42.37,42.19,37.29,42.19
Middle Hip-hop,85.71,86.11,75.0,83.33,77.68,82.24
LA style Hip-hop,66.32,44.26,43.53,44.21,43.53,46.32
House,78.22,69.41,62.38,68.75,67.33,67.71
Waack,49.06,32.61,28.57,37.74,30.61,33.96
Krump,53.23,54.93,47.89,46.55,50.0,43.66
Street Jazz,45.71,20.69,23.53,40.0,35.29,20.0
Ballet Jazz,48.84,54.35,42.86,50.0,39.13,39.53
