genre,total,left_hand_count,right_hand_count,left_foot_count,right_foot_count,Combined_count,left_hand_percentage,right_hand_percentage,left_foot_percentage,right_foot_percentage,Combined_percentage
Break,99,66,60,45,36,92,66.67,60.61,45.45,36.36,92.93
Pop,141,67,59,39,38,109,47.52,41.84,27.66,26.95,77.3
Lock,141,59,64,49,49,113,41.84,45.39,34.75,34.75,80.14
Middle Hip-hop,140,112,107,106,108,136,80.0,76.43,75.71,77.14,97.14
LA style Hip-hop,141,85,95,61,57,129,60.28,67.38,43.26,40.43,91.49
House,136,101,96,83,85,132,74.26,70.59,61.03,62.5,97.06
Waack,141,49,53,46,44,114,34.75,37.59,32.62,31.21,80.85
Krump,137,62,55,71,58,119,45.26,40.15,51.82,42.34,86.86
Street Jazz,129,34,35,27,29,77,26.36,27.13,20.93,22.48,59.69
Ballet Jazz,136,37,43,42,46,88,27.21,31.62,30.88,33.82,64.71
