genre,Lhand-Rhand (Hands),Lfoot-Rfoot (Feet),Lhand-Lfoot (Left Side),Rhand-Rfoot (Right Side),Lhand-Rfoot (Diagonal),Rhand-Lfoot (Diagonal)
Break,67.24,67.74,66.13,56.9,65.45,64.52
Pop,63.49,65.71,61.43,64.71,61.76,68.57
Lock,70.0,64.2,69.14,62.03,61.25,66.67
Middle Hip-hop,69.88,77.01,70.11,66.25,62.65,64.37
LA style Hip-hop,77.78,71.95,65.85,62.96,70.37,62.2
House,90.98,83.06,91.13,79.51,79.51,90.32
Waack,67.9,73.75,70.13,72.84,70.0,69.14
Krump,74.71,68.29,74.39,65.52,67.07,70.11
Street Jazz,72.41,67.61,65.22,59.15,60.56,59.42
Ballet Jazz,79.71,76.83,72.37,64.63,68.29,65.79
