genre,total,left_hand_count,right_hand_count,left_foot_count,right_foot_count,Combined_count,left_hand_percentage,right_hand_percentage,left_foot_percentage,right_foot_percentage,Combined_percentage
Break,99,55,58,62,50,84,55.56,58.59,62.63,50.51,84.85
Pop,141,63,63,70,68,103,44.68,44.68,49.65,48.23,73.05
Lock,141,80,79,81,72,118,56.74,56.03,57.45,51.06,83.69
Middle Hip-hop,140,83,74,87,80,120,59.29,52.86,62.14,57.14,85.71
LA style Hip-hop,141,72,69,82,81,113,51.06,48.94,58.16,57.45,80.14
House,136,122,122,124,107,136,89.71,89.71,91.18,78.68,100.0
Waack,141,74,81,77,80,114,52.48,57.45,54.61,56.74,80.85
Krump,137,82,87,82,77,120,59.85,63.5,59.85,56.2,87.59
Street Jazz,129,58,53,69,71,94,44.96,41.09,53.49,55.04,72.87
Ballet Jazz,136,69,65,76,82,101,50.74,47.79,55.88,60.29,74.26
