genre,Lhand-Rhand (Hands),Lfoot-Rfoot (Feet),Lhand-Lfoot (Left Side),Rhand-Rfoot (Right Side),Lhand-Rfoot (Diagonal),Rhand-Lfoot (Diagonal)
Break,36.36,22.22,9.09,27.27,9.09,18.18
Pop,9.09,22.22,11.11,18.18,11.11,18.18
Lock,6.67,0.0,6.67,11.11,20.0,14.29
Middle Hip-hop,20.0,18.18,0.0,13.33,11.11,6.67
LA style Hip-hop,37.5,0.0,14.29,12.5,25.0,25.0
House,50.0,50.0,42.0,37.78,36.0,44.44
Waack,22.22,33.33,25.0,0.0,10.0,16.67
Krump,33.33,26.67,41.67,33.33,20.0,33.33
Street Jazz,20.0,27.27,0.0,12.5,0.0,0.0
Ballet Jazz,27.78,35.29,28.57,22.22,11.76,11.11
