genre,Lhand-Rhand (Hands),Lfoot-Rfoot (Feet),Lhand-Lfoot (Left Side),Rhand-Rfoot (Right Side),Lhand-Rfoot (Diagonal),Rhand-Lfoot (Diagonal)
Break,72.88,45.95,37.04,37.29,37.04,35.59
Pop,62.82,36.11,29.49,28.12,32.05,26.56
Lock,50.0,46.67,34.0,46.43,30.0,46.43
Middle Hip-hop,77.78,73.33,60.82,66.67,68.04,62.96
LA style Hip-hop,63.64,42.86,37.5,31.17,25.0,40.26
House,81.51,62.32,48.6,53.78,52.34,52.94
Waack,48.84,38.64,31.82,23.68,23.26,22.73
Krump,44.23,52.83,51.92,37.74,45.28,43.14
Street Jazz,34.62,27.27,22.22,15.15,21.21,18.52
Ballet Jazz,47.37,46.51,37.21,26.83,46.34,30.23
