genre,total,left_hand_count,right_hand_count,left_foot_count,right_foot_count,Combined_count,left_hand_percentage,right_hand_percentage,left_foot_percentage,right_foot_percentage,Combined_percentage
Break,99,57,53,43,34,85,57.58,53.54,43.43,34.34,85.86
Pop,141,76,64,34,39,107,53.9,45.39,24.11,27.66,75.89
Lock,141,56,62,40,48,104,39.72,43.97,28.37,34.04,73.76
Middle Hip-hop,140,103,109,90,108,134,73.57,77.86,64.29,77.14,95.71
LA style Hip-hop,141,80,83,63,41,127,56.74,58.87,44.68,29.08,90.07
House,136,109,120,82,71,133,80.15,88.24,60.29,52.21,97.79
Waack,141,51,48,42,40,103,36.17,34.04,29.79,28.37,73.05
Krump,137,64,52,50,64,115,46.72,37.96,36.5,46.72,83.94
Street Jazz,129,24,26,32,33,75,18.6,20.16,24.81,25.58,58.14
Ballet Jazz,136,42,41,43,39,90,30.88,30.15,31.62,28.68,66.18
