genre,total,left_hand_count,right_hand_count,left_foot_count,right_foot_count,Combined_count,left_hand_percentage,right_hand_percentage,left_foot_percentage,right_foot_percentage,Combined_percentage
Break,99,61,62,37,36,84,61.62,62.63,37.37,36.36,84.85
Pop,141,73,66,42,41,106,51.77,46.81,29.79,29.08,75.18
Lock,141,60,47,40,36,93,42.55,33.33,28.37,25.53,65.96
Middle Hip-hop,140,100,92,67,65,120,71.43,65.71,47.86,46.43,85.71
LA style Hip-hop,141,68,81,50,54,105,48.23,57.45,35.46,38.3,74.47
House,136,125,128,89,70,134,91.91,94.12,65.44,51.47,98.53
Waack,141,42,50,36,40,85,29.79,35.46,25.53,28.37,60.28
Krump,137,62,64,58,50,100,45.26,46.72,42.34,36.5,72.99
Street Jazz,129,33,35,35,36,76,25.58,27.13,27.13,27.91,58.91
Ballet Jazz,136,51,52,47,48,100,37.5,38.24,34.56,35.29,73.53
