genre,Lhand-Rhand (Hands),Lfoot-Rfoot (Feet),Lhand-Lfoot (Left Side),Rhand-Rfoot (Right Side),Lhand-Rfoot (Diagonal),Rhand-Lfoot (Diagonal)
Break,79.03,51.35,44.26,35.48,45.9,37.1
Pop,65.75,40.48,43.84,30.3,32.88,40.91
Lock,43.33,52.5,43.33,36.17,36.67,40.43
Middle Hip-hop,81.0,74.63,56.0,54.35,54.0,55.43
LA style Hip-hop,70.37,66.67,51.47,46.91,42.65,46.91
House,92.97,67.42,67.2,53.12,52.8,68.75
Waack,50.0,37.5,40.48,38.0,52.38,34.0
Krump,64.06,55.17,56.45,50.0,46.77,59.38
Street Jazz,37.14,58.33,28.57,38.89,33.33,34.29
Ballet Jazz,50.0,50.0,41.18,44.23,45.1,53.85
